win,dealer_up_card,player_hand_val,action,ace
False,2,8,split,False
False,2,9,double down,False
False,2,8,split,False
False,2,7,stand,False
False,4,20,double down,False
False,J,20,stand,False
False,A,18,double down,False
False,7,17,stand,False
False,3,11,stand,False
False,5,16,hit,False
True,8,19,stand,False
True,3,10 / 20,double down,True
False,2,21,hit,False
False,6,16,split,False
False,6,18,hit,False
False,6,16,split,False
False,6,18,hit,False
False,4,19,hit,False
False,T,20,hit,False
False,3,16,double down,False
True,9,21,hit,True
False,8,18,stand,False
False,K,19,stand,False
False,3,2 / 12,double down,True
False,Q,14,double down,False
False,2,7 / 17,hit,True
True,9,18,hit,False
True,Q,21,hit,False
True,2,19,stand,False
False,8,4 / 14,stand,True
False,Q,16,double down,False
False,5,17,hit,False
True,4,13,double down,False
False,8,14,hit,False
False,7,13,stand,False
True,7,20,hit,False
False,J,15,stand,False
True,J,7,double down,False
True,2,19,hit,True
False,3,15,double down,False
False,T,14,double down,False
False,4,17,hit,False
False,3,14,hit,False
False,8,12,double down,False
False,8,21,hit,False
False,8,21,hit,False
True,A,20,double down,False
True,5,14,double down,False
False,9,13,double down,False
False,J,14,double down,False
True,2,20,hit,False
False,Q,13,double down,False
False,K,12,hit,True
True,A,10,double down,False
False,5,13,stand,False
True,7,16,stand,False
False,K,6 / 16,stand,True
True,9,21,hit,False
True,K,9,double down,False
False,J,19,hit,False
False,T,16,hit,False
False,J,14,hit,True
False,9,19,double down,False
True,8,15,double down,False
False,9,18,hit,False
False,J,12,hit,True
False,7,5,double down,False
False,K,17,hit,False
False,T,18,hit,False
False,8,17,hit,False
False,A,16,double down,False
True,4,16,double down,False
False,T,13,double down,False
True,7,12,double down,False
False,T,20,hit,False
False,2,12,hit,False
True,9,16,hit,False
False,Q,19,hit,True
False,2,10,double down,False
False,Q,16,stand,False
False,A,12,stand,False
False,4,5,double down,False
False,9,5 / 15,stand,True
False,9,13,double down,False
False,9,17,hit,False
False,A,10,stand,False
False,3,7,double down,False
False,8,11 / 21,double down,True
False,A,16,stand,False
True,Q,15,stand,False
False,J,4 / 14,double down,True
False,3,19,hit,False
False,7,9,stand,False
True,Q,10,stand,False
False,A,13,stand,False
False,5,11,stand,False
False,A,15,hit,False
True,8,4 / 14,stand,True
False,9,19,hit,False
False,3,12,stand,False
False,7,21,hit,False
False,T,11,stand,False
False,9,16,stand,False
True,8,10,double down,False
True,A,11 / 21,stand,True
True,7,8 / 18,double down,True
False,7,18,hit,False
True,9,9,double down,False
True,A,17,double down,False
False,K,20,double down,False
False,8,20,double down,False
True,A,20,stand,False
False,J,15,double down,False
True,K,21,hit,False
False,6,16,double down,False
True,4,11 / 21,double down,True
False,5,16,double down,False
False,8,16,stand,False
True,J,16,double down,False
False,6,8,stand,False
False,K,14,double down,False
False,6,18,hit,False
False,6,21,hit,False
False,Q,18,hit,False
False,T,18,double down,False
False,Q,11,stand,False
False,K,15,stand,False
False,J,14,double down,False
False,T,11 / 21,double down,True
True,K,6,double down,False
False,2,18,stand,False
False,K,9 / 19,double down,True
False,3,20,hit,False
False,7,12,stand,False
True,3,7 / 17,stand,True
True,7,18,stand,False
False,6,20,double down,False
False,8,17,stand,False
False,8,18,split,False
False,8,12,stand,False
False,8,18,split,False
False,8,11,stand,False
False,2,20,hit,False
True,7,3 / 13,double down,True
False,T,15,stand,False
True,J,8 / 18,hit,True
False,9,19,stand,False
False,6,15,stand,False
False,T,11 / 21,double down,True
False,K,13,hit,True
False,K,15,double down,False
False,8,18,hit,False
False,5,18,double down,False
True,T,16,double down,False
